,date,dcoilwtico
0,2013-01-01,
1,2013-01-02,93.13999938964844
2,2013-01-03,92.97000122070312
3,2013-01-04,93.12000274658203
4,2013-01-07,93.19999694824219
5,2013-01-08,93.20999908447266
6,2013-01-09,93.08000183105469
7,2013-01-10,93.80999755859375
8,2013-01-11,93.5999984741211
9,2013-01-14,94.2699966430664
10,2013-01-15,93.26000213623047
11,2013-01-16,94.27999877929688
12,2013-01-17,95.48999786376953
13,2013-01-18,95.61000061035156
14,2013-01-21,
15,2013-01-22,96.08999633789062
16,2013-01-23,95.05999755859375
17,2013-01-24,95.3499984741211
18,2013-01-25,95.1500015258789
19,2013-01-28,95.94999694824219
20,2013-01-29,97.62000274658203
21,2013-01-30,97.9800033569336
22,2013-01-31,97.6500015258789
23,2013-02-01,97.45999908447266
24,2013-02-04,96.20999908447266
25,2013-02-05,96.68000030517578
26,2013-02-06,96.44000244140625
27,2013-02-07,95.83999633789062
28,2013-02-08,95.70999908447266
29,2013-02-11,97.01000213623047
30,2013-02-12,97.4800033569336
31,2013-02-13,97.02999877929688
32,2013-02-14,97.30000305175781
33,2013-02-15,95.94999694824219
34,2013-02-18,
35,2013-02-19,96.69000244140625
36,2013-02-20,94.91999816894531
37,2013-02-21,92.79000091552734
38,2013-02-22,93.12000274658203
39,2013-02-25,92.73999786376953
40,2013-02-26,92.62999725341797
41,2013-02-27,92.83999633789062
42,2013-02-28,92.02999877929688
43,2013-03-01,90.70999908447266
44,2013-03-04,90.12999725341797
45,2013-03-05,90.87999725341797
46,2013-03-06,90.47000122070312
47,2013-03-07,91.52999877929688
48,2013-03-08,92.01000213623047
49,2013-03-11,92.06999969482422
50,2013-03-12,92.44000244140625
51,2013-03-13,92.47000122070312
52,2013-03-14,93.02999877929688
53,2013-03-15,93.48999786376953
54,2013-03-18,93.70999908447266
55,2013-03-19,92.44000244140625
56,2013-03-20,93.20999908447266
57,2013-03-21,92.45999908447266
58,2013-03-22,93.41000366210938
59,2013-03-25,94.55000305175781
60,2013-03-26,95.98999786376953
61,2013-03-27,96.52999877929688
62,2013-03-28,97.23999786376953
63,2013-03-29,
64,2013-04-01,97.0999984741211
65,2013-04-02,97.2300033569336
66,2013-04-03,95.0199966430664
67,2013-04-04,93.26000213623047
68,2013-04-05,92.76000213623047
69,2013-04-08,93.36000061035156
70,2013-04-09,94.18000030517578
71,2013-04-10,94.58999633789062
72,2013-04-11,93.44000244140625
73,2013-04-12,91.2300033569336
74,2013-04-15,88.75
75,2013-04-16,88.7300033569336
76,2013-04-17,86.6500015258789
77,2013-04-18,87.83000183105469
78,2013-04-19,88.04000091552734
79,2013-04-22,88.80999755859375
80,2013-04-23,89.20999908447266
81,2013-04-24,91.06999969482422
82,2013-04-25,93.2699966430664
83,2013-04-26,92.62999725341797
84,2013-04-29,94.08999633789062
85,2013-04-30,93.22000122070312
86,2013-05-01,90.73999786376953
87,2013-05-02,93.69999694824219
88,2013-05-03,95.25
89,2013-05-06,95.80000305175781
90,2013-05-07,95.27999877929688
91,2013-05-08,96.23999786376953
92,2013-05-09,96.08999633789062
93,2013-05-10,95.80999755859375
94,2013-05-13,94.76000213623047
95,2013-05-14,93.95999908447266
96,2013-05-15,93.94999694824219
97,2013-05-16,94.8499984741211
98,2013-05-17,95.72000122070312
99,2013-05-20,96.29000091552734
100,2013-05-21,95.55000305175781
101,2013-05-22,93.9800033569336
102,2013-05-23,94.12000274658203
103,2013-05-24,93.83999633789062
104,2013-05-27,
105,2013-05-28,94.6500015258789
106,2013-05-29,93.12999725341797
107,2013-05-30,93.56999969482422
108,2013-05-31,91.93000030517578
109,2013-06-03,93.41000366210938
110,2013-06-04,93.36000061035156
111,2013-06-05,93.66000366210938
112,2013-06-06,94.70999908447266
113,2013-06-07,96.11000061035156
114,2013-06-10,95.81999969482422
